Year,maxValue,mostPopular,customFit
0,-7857.5,-12167.0,-17598.0
1,1381.6733003100785,1654.8486336076448,1856.8290374866403
2,1376.1466071519383,1648.2292390989446,1849.40172141051
3,1370.6420207233305,1641.6363221425488,1842.004114524868
4,1365.1594526404372,1635.0697768539787,1834.6360980667685
5,1359.6988148298753,1628.5294977465628,1827.2975536745014
6,1354.2600195705559,1622.0153797555765,1819.9883634598034
7,1348.8429794922738,1615.5273182365543,1812.7084100059642
8,1343.4476075743046,1609.065208963608,1805.4575763659404
9,1338.0738171440073,1602.6289481277536,1798.2357460604767
10,1332.7215218754313,1596.2184323352426,1791.0428030762348
11,1327.3906357879296,1589.8335586059015,1783.8786318639297
12,1322.0810732447778,1583.474224371478,1776.7431173364741
13,1316.7927489517988,1577.140327473992,1769.6361448671282
14,1311.5255779559916,1570.831766164096,1762.5576002876596
15,1306.2794756441676,1564.5484390994397,1755.507369886509
16,1301.054357741591,1558.290245343042,1748.485340406963
17,1295.8501403106247,1552.0570843616697,1741.4913990453351
18,1290.666739749382,1545.848856024223,1734.5254334491538
19,1285.5040727903845,1539.6654606001262,1727.587331715357
20,1280.3620564992232,1533.5067987577256,1720.6769823884956
